HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458582.54198,2019-04-09.0402424,bi,1.38,16.578,13.768,0.016,11.300,0.172,g
2458583.54736,2019-04-10.0456734,bE,1.51,16.667,13.810,0.016,10.863,0.158,g
2458583.54875,2019-04-10.0470579,bE,1.45,16.706,13.798,0.015,10.986,0.153,g
2458583.54999,2019-04-10.0482984,bE,1.48,16.704,13.792,0.015,11.043,0.153,g
2458584.52478,2019-04-11.0231407,bi,1.40,16.544,13.785,0.017,11.118,0.177,g
2458584.52601,2019-04-11.0243671,bi,1.36,16.591,13.797,0.017,10.991,0.170,g
2458584.52723,2019-04-11.0255907,bi,1.41,16.569,13.754,0.016,11.434,0.174,g
2458585.54367,2019-04-12.0420729,bi,2.00,16.522,13.749,0.017,11.496,0.181,g
2458585.54488,2019-04-12.0432839,bi,1.99,16.484,13.787,0.018,11.097,0.187,g
2458585.54610,2019-04-12.0445032,bi,1.99,16.506,13.778,0.018,11.193,0.184,g
2458586.53692,2019-04-13.0353641,bE,1.47,16.617,13.751,0.016,11.474,0.166,g
2458586.53819,2019-04-13.0366449,bE,1.45,16.605,13.778,0.016,11.193,0.167,g
2458586.53946,2019-04-13.0379197,bE,1.46,16.578,13.742,0.016,11.569,0.173,g
2458586.67344,2019-04-13.1719028,bi,1.41,16.428,13.761,0.019,11.359,0.198,g
2458586.67466,2019-04-13.1731185,bi,1.45,16.471,13.780,0.018,11.166,0.190,g
2458586.67588,2019-04-13.1743343,bi,1.44,16.451,13.789,0.019,11.075,0.193,g
2458587.67845,2019-04-14.1769478,bi,1.53,16.325,13.812,0.022,10.848,0.217,g
2458588.54722,2019-04-15.0457576,bE,1.47,16.502,13.795,0.018,11.010,0.184,g
2458588.54859,2019-04-15.0471292,bE,1.41,16.523,13.751,0.017,11.480,0.181,g
2458588.54985,2019-04-15.0483943,bE,1.40,16.544,13.804,0.017,10.926,0.178,g
2458589.56170,2019-04-16.0602870,bi,1.46,16.198,13.761,0.023,11.367,0.243,g
2458589.56291,2019-04-16.0614991,bi,1.48,16.321,13.767,0.021,11.309,0.216,g
2458589.56413,2019-04-16.0627171,bi,1.52,16.327,13.771,0.021,11.258,0.216,g
2458591.60300,2019-04-18.1016915,bi,1.39,16.095,13.752,0.025,11.455,0.267,g
2458591.60421,2019-04-18.1029071,bi,1.47,15.994,13.753,0.028,11.449,0.292,g
2458591.60544,2019-04-18.1041356,bi,1.40,16.009,13.777,0.028,11.200,0.288,g
2458592.30379,2019-04-18.8025159,bm,1.54,15.898,13.704,0.029,11.975,0.320,g
2458592.30500,2019-04-18.8037212,bm,1.51,15.943,13.780,0.030,11.166,0.307,g
2458592.30620,2019-04-18.8049269,bm,1.53,16.024,13.791,0.028,11.053,0.285,g
