HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459646.61740,2022-03-08.1144142,bE,1.47,17.344,14.288,0.013,6.994,0.084,g
2459646.65066,2022-03-08.1476792,bi,1.46,17.328,14.295,0.013,6.950,0.085,g
2459647.70871,2022-03-09.2057502,bE,1.46,17.384,14.273,0.012,7.090,0.081,g
2459648.66885,2022-03-10.1659172,bE,1.52,17.290,14.356,0.015,6.569,0.088,g
2459648.69064,2022-03-10.1877101,bi,1.46,17.297,14.338,0.014,6.679,0.088,g
2459649.56478,2022-03-11.0618701,bE,1.47,17.284,14.353,0.015,6.587,0.089,g
2459649.59455,2022-03-11.0916355,bi,1.40,17.244,14.355,0.015,6.578,0.092,g
2459650.56355,2022-03-12.0606697,bi,1.41,17.265,14.342,0.015,6.658,0.090,g
2459653.51976,2022-03-15.0169486,bE,1.49,17.104,14.411,0.018,6.248,0.105,g
2459653.75182,2022-03-15.2490142,bi,1.54,16.996,14.373,0.019,6.466,0.116,g
2459654.68957,2022-03-16.1867901,bi,1.49,17.032,14.353,0.018,6.591,0.112,g
2459655.50203,2022-03-16.9992821,bi,2.29,16.887,14.333,0.021,6.713,0.128,g
2459659.41026,2022-03-20.9076334,bm,1.58,16.832,14.515,0.026,5.678,0.134,g
2459660.67964,2022-03-22.1770638,bi,1.49,17.114,14.415,0.018,6.225,0.104,g
2459661.69874,2022-03-23.1962034,bi,1.47,17.141,14.370,0.017,6.488,0.101,g
2459664.57733,2022-03-26.0748957,bE,1.47,17.465,14.176,0.011,7.759,0.075,g
2459665.71430,2022-03-27.2119059,bE,1.61,17.414,14.187,0.011,7.679,0.079,g
2459666.59035,2022-03-28.0879881,bi,1.41,17.330,14.261,0.013,7.169,0.085,g
2459666.62360,2022-03-28.1212445,bE,1.49,17.370,14.259,0.012,7.185,0.082,g
2459667.71924,2022-03-29.2169239,bi,1.42,17.374,14.226,0.012,7.409,0.082,g
2459668.60272,2022-03-30.1004372,bE,1.53,17.318,14.316,0.014,6.817,0.086,g
2459669.69137,2022-03-31.1891339,bi,1.46,17.244,14.368,0.015,6.501,0.092,g
2459671.59153,2022-04-02.0893768,bE,1.44,17.365,14.277,0.013,7.065,0.082,g
2459672.59604,2022-04-03.0939256,bE,1.49,17.374,14.286,0.013,7.005,0.082,g
2459673.54287,2022-04-04.0407943,bi,1.44,17.099,14.629,0.022,5.108,0.105,g
2459673.58765,2022-04-04.0855746,bE,1.45,17.122,14.680,0.023,4.876,0.103,g
2459674.66422,2022-04-05.1621966,bi,1.42,17.224,14.421,0.016,6.188,0.094,g
2459676.52141,2022-04-07.0194726,bi,1.42,17.350,14.238,0.012,7.327,0.083,g
2459677.53454,2022-04-08.0326456,bE,1.47,17.389,14.224,0.012,7.423,0.080,g
2459678.60974,2022-04-09.1078953,bE,1.52,17.387,14.179,0.011,7.735,0.081,g
2459679.61579,2022-04-10.1139915,bE,1.51,17.485,14.096,0.010,8.351,0.074,g
2459680.59724,2022-04-11.0954899,bE,1.53,17.452,14.122,0.010,8.149,0.076,g
2459680.61622,2022-04-11.1144818,bi,1.42,17.427,14.116,0.010,8.200,0.078,g
2459681.62362,2022-04-12.1219248,bi,1.42,17.358,14.158,0.011,7.884,0.083,g
2459682.66414,2022-04-13.1624966,bi,1.54,17.125,14.156,0.014,7.902,0.103,g
2459683.66412,2022-04-14.1625170,bi,1.42,17.027,14.075,0.014,8.511,0.112,g
2459685.62784,2022-04-16.1263406,bi,1.53,16.865,14.166,0.018,7.825,0.130,g
2459685.64474,2022-04-16.1432361,bE,1.50,16.967,14.167,0.017,7.817,0.119,g
2459688.39358,2022-04-18.8922152,bm,1.61,15.639,14.486,0.075,5.828,0.403,g
2459691.64173,2022-04-22.1405356,bE,1.49,17.287,14.302,0.014,6.906,0.088,g
2459692.63441,2022-04-23.1332651,bi,1.45,17.137,14.558,0.020,5.456,0.101,g
2459693.63919,2022-04-24.1380976,bE,1.48,17.064,14.805,0.027,4.347,0.108,g
2459694.64047,2022-04-25.1394295,bE,1.47,17.173,14.512,0.019,5.689,0.098,g
2459695.53110,2022-04-26.0301136,bE,1.45,17.219,14.497,0.018,5.772,0.094,g
2459697.50920,2022-04-28.0083119,bi,1.42,16.894,15.506,0.061,2.279,0.127,g
2459700.20999,2022-04-30.7092548,bm,1.49,16.880,15.163,0.045,3.125,0.129,g
2459701.62413,2022-05-02.1234706,bE,1.48,17.128,14.624,0.022,5.132,0.102,g
2459703.29156,2022-05-03.7909849,bm,1.44,17.040,14.734,0.026,4.639,0.111,g
2459705.59227,2022-05-06.0918313,bE,1.54,16.905,15.630,0.067,2.033,0.126,g
2459709.32127,2022-05-09.8210444,bm,1.54,16.869,15.146,0.044,3.176,0.130,g
2459711.58835,2022-05-12.0882467,bE,1.55,16.920,14.828,0.032,4.256,0.124,g
2459713.57410,2022-05-14.0741075,bE,1.46,16.769,15.069,0.045,3.407,0.142,g
2459714.50403,2022-05-15.0040858,bi,1.45,16.840,14.490,0.025,5.806,0.133,g
2459716.31250,2022-05-16.8126692,bm,1.53,16.541,14.193,0.025,7.638,0.176,g
2459719.56568,2022-05-20.0660179,bE,1.49,17.170,14.513,0.019,5.684,0.098,g
2459723.44752,2022-05-23.9480850,bi,1.51,17.043,14.202,0.016,7.571,0.111,g
2459724.55114,2022-05-25.0517528,bE,1.48,17.401,14.212,0.012,7.501,0.080,g
2459725.46623,2022-05-25.9668957,bi,1.47,17.591,14.070,0.008,8.549,0.067,g
2459727.30246,2022-05-27.8032407,bm,1.47,17.082,14.485,0.020,5.835,0.107,g
2459736.51735,2022-06-06.0186226,bi,1.53,17.648,13.968,0.007,9.389,0.063,g
