###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58129.498190  13.591  0.010 13287  138 o  0 187.63 123.84754 -38.98983  9338.17  8163.12 2.09 2.07  20.9 -0.477 17.28 18.51 02a58129o0663o
58129.506305  13.578  0.178 13452 2394 o  0   1.42 123.84754 -38.98983  9353.93  8041.20 2.16 2.03   5.1 -0.520 15.24 16.58 02a58129o0680o
58131.477370  13.451  0.003 15124   48 o  0 433.14 123.84754 -38.98983  1058.66  3214.50 3.83 3.12  83.4 -0.428 18.89 20.89 01a58131o0439o
58131.479200  13.449  0.003 15153   46 o  0 489.85 123.84754 -38.98983  1074.86  3261.04 4.06 3.35  84.3 -0.416 18.84 20.93 01a58131o0443o
58131.486988  13.471  0.004 14850   55 o  0 324.14 123.84754 -38.98983  1019.98  3216.04 3.99 3.31  84.8 -0.421 18.40 20.43 01a58131o0460o
58131.501195  13.453  0.005 15097   70 o  0 117.69 123.84754 -38.98983  1011.75  3392.21 3.97 3.25  83.9 -0.410 18.28 20.20 01a58131o0490o
58135.475248  13.420  0.003 15557   42 o  0 566.45 123.84754 -38.98983  2648.96  2855.30 3.84 3.53  88.0 -0.414 18.78 20.59 01a58135o0608o
58135.483523  13.450  0.003 15142   43 o  0 663.94 123.84754 -38.98983  2684.61  2926.85 3.70 3.32  89.3 -0.428 18.84 20.61 01a58135o0626o
58135.492285  13.440  0.003 15276   44 o  0 542.12 123.84754 -38.98983  2627.76  2885.39 3.66 3.31  88.6 -0.426 18.81 20.58 01a58135o0645o
58135.500571  13.394  0.003 15932   44 o  0 309.47 123.84754 -38.98983  2601.86  3035.29 4.30 3.82  89.6 -0.394 18.67 20.54 01a58135o0663o
58139.461835  13.517  0.003 14227   40 o  0 1517.93 123.84754 -38.98983  2900.17  4042.50 3.54 2.86  89.1 -0.435 19.04 20.87 01a58139o0262o
58139.470105  13.387  0.005 16044   86 o  0  68.69 123.84754 -38.98983  2922.98  4114.74 3.85 3.25 -89.8 -0.417 17.78 19.51 01a58139o0280o
58139.478848  13.382  0.003 16110   51 o  0 233.24 123.84754 -38.98983  2865.61  4072.09 4.17 3.61  88.7 -0.412 18.48 20.44 01a58139o0299o
58139.487126  13.468  0.003 14880   42 o  0 836.08 123.84754 -38.98983  2855.06  4221.63 3.91 3.32 -88.9 -0.420 18.86 20.80 01a58139o0317o
58141.458326  13.451  0.004 15121   54 o  0 1188.71 123.84754 -38.98983  8272.69  8743.19 3.26 2.94  53.4 -0.434 18.64 20.56 02a58141o0379o
58141.469279  13.350  0.003 16603   56 o  0 1850.15 123.84754 -38.98983  8259.05  8702.92 2.89 2.66  55.0 -0.463 18.91 20.62 02a58141o0403o
58143.459332  13.460  0.019 14997  284 o  0   6.46 123.84754 -38.98983  2933.71  1842.06 3.38 2.97  82.8 -0.442 15.93 17.62 01a58143o0562o
58143.476341  -1.755  0.685 18276111048 12515163000 o  0   1.18 123.84754 -38.98983  2899.09  1870.92 3.73 3.29  82.1 -0.317 -3.50 -1.57 01a58143o0599o
58145.457564  -0.310 11.081 4832386528 53545960397 o  0   0.84 123.84754 -38.98983  7103.95  5685.61 2.07 1.91  84.7 -0.531 -4.56 -4.50 02a58145o0560o
58147.450588  13.485  0.003 14659   49 o  0 389.18 123.84754 -38.98983  3816.43  1656.83 3.58 2.99  84.3 -0.445 18.12 19.25 01a58147o0126o
58147.459331  13.486  0.004 14635   53 o  0 254.33 123.84754 -38.98983  3835.81  1731.29 3.55 2.89  88.7 -0.447 18.10 19.23 01a58147o0145o
58147.468061  13.523  0.003 14149   48 o  0 456.28 123.84754 -38.98983  3777.38  1689.94 3.56 2.84  87.5 -0.449 18.10 19.21 01a58147o0164o
58147.476789  13.479  0.003 14731   50 o  0 250.92 123.84754 -38.98983  3765.59  1840.78 3.82 3.21  87.9 -0.401 18.02 19.18 01a58147o0183o
58151.444155  13.530  0.004 14060   50 o  0 509.67 123.84754 -38.98983  4092.67  2470.70 3.06 2.71  82.9 -0.465 18.16 19.09 01a58151o0416o
58151.452908  13.512  0.004 14301   51 o  0 366.30 123.84754 -38.98983  4111.35  2544.56 3.19 2.78  87.2 -0.451 18.15 19.09 01a58151o0435o
58151.461671  13.494  0.004 14529   52 o  0 315.99 123.84754 -38.98983  4052.67  2503.25 3.15 2.75  85.5 -0.456 18.17 19.08 01a58151o0454o
58151.470409  13.527  0.004 14104   51 o  0 505.56 123.84754 -38.98983  4040.51  2653.43 3.16 2.70  87.9 -0.459 18.17 19.05 01a58151o0473o
58153.437958  13.624  0.003 12899   45 o  0 2299.31 123.84754 -38.98983  5941.53  7244.47 2.18 2.04  50.0 -0.507 18.73 19.45 02a58153o0510o
58153.446700  13.603  0.003 13143   44 o  0 2761.97 123.84754 -38.98983  5929.14  7204.77 2.25 2.09  49.6 -0.518 18.64 19.44 02a58153o0529o
58153.455449  13.563  0.004 13641   48 o  0 1349.13 123.84754 -38.98983  5991.25  7281.11 2.30 2.16  51.6 -0.527 18.67 19.42 02a58153o0548o
58153.464213  13.603  0.003 13150   45 o  0 2593.47 123.84754 -38.98983  6008.91  7164.49 2.13 2.00  50.5 -0.525 18.69 19.39 02a58153o0567o
58157.437612  13.552  0.005 13773   74 o  0 691.22 123.84754 -38.98983  7082.57  5806.04 2.34 2.18  63.7 -0.481 18.11 19.38 02a58157o0384o
58158.413285  13.415  0.003 15635   43 o  0 422.59 123.84754 -38.98983  1136.75  1559.00 4.10 3.60  80.9 -0.405 18.72 20.64 01a58158o0459o
58158.421121  13.393  0.003 15957   45 o  0 297.69 123.84754 -38.98983  1157.42  1629.34 4.28 3.71  79.1 -0.392 18.63 20.64 01a58158o0476o
58158.428936  13.385  0.003 16063   46 o  0 234.78 123.84754 -38.98983  1100.11  1584.55 4.12 3.61  80.8 -0.405 18.72 20.68 01a58158o0493o
58158.438579  13.354  0.003 16534   48 o  0 206.96 123.84754 -38.98983  1090.29  1741.36 4.19 3.68  77.7 -0.428 18.65 20.65 01a58158o0514o
58159.423970  13.502  0.003 14424   42 o  0 1113.66 123.84754 -38.98983  2570.49  1241.90 3.37 2.95  79.3 -0.432 18.93 20.90 01a58159o0476o
58159.432226  13.458  0.003 15018   41 o  0 1034.04 123.84754 -38.98983  2589.88  1314.03 3.72 3.15  81.5 -0.422 18.83 20.97 01a58159o0494o
58159.440033  13.479  0.003 14731   41 o  0 1224.08 123.84754 -38.98983  2529.90  1268.93 3.55 3.04  84.0 -0.436 18.92 20.98 01a58159o0511o
58159.448300  13.487  0.003 14634   41 o  0 1011.44 123.84754 -38.98983  2517.66  1419.19 3.69 3.16  85.2 -0.419 18.88 20.99 01a58159o0529o
58161.425107  13.734  0.003 11647   37 c  0 3142.67 123.84754 -38.98983  6406.31  7996.15 2.60 2.51  47.8 -0.471 19.53 21.38 02a58161o0471c
58161.433856  13.722  0.003 11783   37 c  0 3501.52 123.84754 -38.98983  6393.65  7956.26 2.64 2.56  39.0 -0.469 19.54 21.36 02a58161o0490c
58161.443192  13.712  0.003 11894   37 c  0 3646.42 123.84754 -38.98983  6457.01  8031.95 2.63 2.55  48.8 -0.471 19.55 21.38 02a58161o0509c
58161.451904  13.738  0.003 11604   36 c  0 1892.81 123.84754 -38.98983  6473.70  7915.74 2.96 2.86  55.1 -0.441 19.38 21.34 02a58161o0528c
58167.409615  13.466  0.003 14921   42 o  0 1182.01 123.84754 -38.98983  2249.45  2201.25 3.69 3.02  82.0 -0.442 18.85 20.73 01a58167o0217o
58167.418362  13.467  0.003 14903   43 o  0 939.03 123.84754 -38.98983  2270.30  2275.31 3.64 2.98  85.5 -0.442 18.87 20.73 01a58167o0236o
58167.427110  13.460  0.003 15000   43 o  0 851.60 123.84754 -38.98983  2211.21  2233.68 3.69 3.05  86.1 -0.437 18.82 20.71 01a58167o0255o
58167.435825  13.432  0.003 15395   43 o  0 762.94 123.84754 -38.98983  2198.88  2383.81 3.87 3.13  82.4 -0.431 18.79 20.64 01a58167o0274o
58173.388922  13.020  0.210 22498 4728 o  0   1.15 123.84754 -38.98983  6375.22  6368.35 2.46 2.35 -58.5 -0.505 13.51 13.76 02a58173o0002o
58181.360502  13.453  0.007 15092  107 o  0  63.60 123.84754 -38.98983  9569.69  5375.48 2.81 2.59  67.4 -0.463 17.42 18.09 02a58181o0320o
58181.367599  13.088  0.191 21122 4041 o  0   1.39 123.84754 -38.98983  9556.47  5336.13 4.10 2.07 -54.2 -0.438 14.41 15.54 02a58181o0335o
58181.374471   0.000  0.000     0    0 o  0  -0.00 123.84754 -38.98983  9618.26  5411.93 2.64 2.48  61.6 -0.441 14.73 15.33 02a58181o0350o
58181.381333   3.043  2.690 -59854504076 160987976479 o  0   1.28 123.84754 -38.98983  9634.17  5295.66 2.55 2.38  70.8 -0.371 -5.36 -5.12 02a58181o0365o
58183.354307  13.463  0.003 14959   44 o  0 926.86 123.84754 -38.98983  1277.17  2045.29 3.74 2.95  83.4 -0.452 18.63 20.15 01a58183o0290o
